,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
216030_s_at,-0.125458096,2.7205515,-2.972301294,0.005643476,0.032686126,-2.692250558,SEMG2
200048_s_at,-0.125394174,10.9631321,-2.996659648,0.005305589,0.031248851,-2.635130056,JTB
201429_s_at,-0.122644163,14.16085872,-3.788062127,0.000649018,0.006256381,-0.661391443,RPL37A
206052_s_at,-0.12259379,9.438818257,-2.92564053,0.006348285,0.035666282,-2.80094983,SLBP
209128_s_at,-0.122128231,8.194518606,-3.030429329,0.00486871,0.029296148,-2.555521761,SART3
200738_s_at,-0.122027732,11.68754874,-2.929782327,0.006282512,0.035408344,-2.791340033,PGK1
208834_x_at,-0.121470808,14.2424202,-3.356810651,0.002082492,0.015453344,-1.762932321,NA
211042_x_at,-0.121132363,7.119006451,-3.050553434,0.004624815,0.028230631,-2.507853905,NA
207320_x_at,-0.119355189,9.589419448,-3.058730155,0.004529067,0.027782648,-2.488437809,STAU1
224298_s_at,-0.118815418,8.02934025,-2.954580854,0.005901959,0.033799628,-2.733643887,UBAC2
210434_x_at,-0.117571131,11.39606284,-3.126256251,0.003807254,0.024469452,-2.327054373,JTB
213084_x_at,-0.112343151,14.24648455,-2.964572663,0.005754867,0.033148691,-2.710320734,NA
206559_x_at,-0.10765905,14.20388005,-3.379701525,0.001959772,0.014726574,-1.70589029,EEF1A1
204892_x_at,-0.106667854,14.40865358,-3.307433262,0.002372841,0.017070403,-1.885366756,EEF1A1
200099_s_at,0.110822155,14.07931097,3.33878034,0.00218432,0.016041328,-1.807737104,NA
237391_at,0.111071644,2.528182381,2.915876613,0.006505917,0.036256348,-2.823573839,NA
200687_s_at,0.119977555,8.211115832,2.935907133,0.006186426,0.034982537,-2.777115314,SF3B3
240750_at,0.120164523,2.712716456,2.900276712,0.006765446,0.037314714,-2.859631839,NA
1557878_at,0.121071749,5.119118315,2.894286502,0.006867669,0.037726065,-2.873448631,LOC101930370
1552816_at,0.12285841,2.864352118,3.106198595,0.004009356,0.025406994,-2.375182305,NXNL2
1563310_a_at,0.124183217,2.504081651,2.905431194,0.006678633,0.036981392,-2.847729743,NA
240586_at,0.12420191,2.643227149,3.415137257,0.001783412,0.013681498,-1.617243073,ENAM
1561419_at,0.12507408,3.727236376,2.897878708,0.006806195,0.037501633,-2.865164932,LOC101927051
